container_id,receptacle_model_id,assignment_date,last_updated_date,group_name,address,city,state,zip,neighborhood,dpw_division,council_district,ward,fire_zone,x,y
293,74,2017-09-22T15:33:41,2019-11-10T03:23:28,2nd Division,5400 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.93663887,40.46462117
1026,74,2018-07-27T13:18:58,2019-11-10T03:24:16,2nd Division,4115 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95340029,40.46345061
286,74,2017-09-22T15:33:41,2019-11-10T03:22:24,2nd Division,5115 Coral Street,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94282075,40.4643974
1062,74,2018-07-27T13:19:00,2019-11-10T03:01:21,2nd Division,4239 Main Street,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95272343,40.46390065
1122,74,2018-07-27T13:19:03,2019-11-10T03:31:21,2nd Division,5140 Friendship Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.94147457,40.46225361
1198,74,2019-03-19T08:03:00,2019-11-10T01:48:21,2nd Division,4900 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94567351,40.45994958
1166,74,2019-03-19T08:02:59,2019-11-10T01:58:21,2nd Division,4200 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95430911,40.4657502
1104,74,2018-07-27T13:19:02,2019-11-10T03:22:25,2nd Division,4626 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94983258,40.46202629
1102,74,2018-07-27T13:19:02,2019-11-10T13:05:21,2nd Division,4800 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.9469974,40.46053024
1101,74,2018-07-27T13:19:02,2019-11-10T03:19:24,2nd Division,4924 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94481548,40.45937451
1095,74,2018-07-27T13:19:01,2019-11-10T03:17:33,2nd Division,4526 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.95103208,40.46263576
146,74,2017-09-19T12:22:52,2019-11-10T03:13:15,2nd Division,5231 Centre Ave,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-1,-79.94032478,40.45546486
1144,74,2018-07-27T13:19:04,2019-11-10T03:06:21,2nd Division,4420 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95262314,40.46603248
1081,74,2018-07-27T13:19:01,2019-11-10T03:13:16,2nd Division,4117 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.9540183,40.46345856
1080,74,2018-07-27T13:19:01,2019-11-10T03:24:21,2nd Division,4210 Main Street,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95407594,40.46476831
1079,74,2018-07-27T13:19:01,2019-11-10T03:01:20,2nd Division,4500 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.95194634,40.46309725
1087,74,2018-07-27T13:19:01,2019-11-10T10:05:19,2nd Division,4606 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.95054139,40.46236672
1086,74,2018-07-27T13:19:01,2019-11-10T03:21:23,2nd Division,4723 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94906719,40.46163922
1085,74,2018-07-27T13:19:01,2019-11-10T03:25:23,2nd Division,4512 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.95139304,40.46282122
1084,74,2018-07-27T13:19:01,2019-11-10T03:31:23,2nd Division,312 Pearl Street,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94993793,40.46191048
1083,74,2018-07-27T13:19:01,2019-11-10T03:14:17,2nd Division,4525 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.950939,40.46276503
1082,74,2018-07-27T13:19:01,2019-11-10T03:11:20,2nd Division,4505 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95166602,40.46315333
1103,74,2018-07-27T13:19:02,2019-11-10T11:05:23,2nd Division,4826 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.9460678,40.46004055
1099,74,2018-07-27T13:19:02,2019-11-10T03:29:23,2nd Division,4727 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94896248,40.46170765
1092,74,2018-07-27T13:19:01,2019-11-10T12:05:23,2nd Division,4322 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95356898,40.4658836
920,74,2018-07-27T13:18:53,2019-11-10T03:10:22,2nd Division,5218 Friendship Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.93905213,40.46195336
933,74,2018-07-27T13:18:53,2019-11-10T03:21:21,2nd Division,5407 Friendship Avenue,Pittsburgh,Pennsylvania,15232,Bloomfield,2,7,8,3-23,-79.93638205,40.46169364
946,74,2018-07-27T13:18:54,2019-11-10T12:05:23,2nd Division,5404 Centre Ave,Pittsburgh,Pennsylvania,15232,Bloomfield,2,7,8,3-22,-79.93813268,40.45612928
949,74,2018-07-27T13:18:54,2019-11-10T03:29:24,2nd Division,5305 Baum Boulevard,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.93932338,40.45662959
955,74,2018-07-27T13:18:54,2019-11-10T14:20:25,2nd Division,4052 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95541714,40.4630473
970,74,2018-07-27T13:18:55,2019-11-10T03:13:26,2nd Division,5318 Friendship Avenue,Pittsburgh,Pennsylvania,15232,Bloomfield,2,7,8,3-23,-79.9377309,40.46185775
972,74,2018-07-27T13:18:55,2019-11-10T03:20:21,2nd Division,5100 Friendship Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94311008,40.46238371
981,74,2018-07-27T13:18:56,2019-11-10T03:17:20,2nd Division,4901 Friendship Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94546871,40.46273137
1004,74,2018-07-27T13:18:57,2019-11-10T03:08:21,2nd Division,249 South Pacific Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.94030985,40.46219263
1143,74,2018-07-27T13:19:04,2019-11-10T03:23:24,2nd Division,200 South Winebiddle Street,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94282344,40.46484513
1142,74,2018-07-27T13:19:04,2019-11-10T03:11:26,2nd Division,4445 Howley Street,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95134116,40.46506632
1117,74,2018-07-27T13:19:03,2019-11-10T03:25:23,2nd Division,5005 Friendship Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94436595,40.46248944
1019,74,2018-07-27T13:18:58,2019-11-10T03:26:22,2nd Division,5216 Harriet Street,Pittsburgh,Pennsylvania,15232,Bloomfield,2,7,8,3-23,-79.93816728,40.45965576
1024,74,2018-07-27T13:18:58,2019-11-10T03:10:24,2nd Division,4800 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94694791,40.46063371
1212,74,2019-03-19T08:03:01,2019-11-10T01:56:23,2nd Division,5215 Centre Ave,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-1,-79.94063804,40.45536714
1098,74,2018-07-27T13:19:02,2019-11-10T03:00:21,2nd Division,4104 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.95490492,40.46564181
1088,74,2018-07-27T13:19:01,2019-11-10T03:05:22,2nd Division,4626 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94999179,40.46207976
1078,74,2018-07-27T13:19:01,2019-11-10T03:31:24,2nd Division,4115 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.9535838,40.46358228
318,74,2017-09-22T15:33:42,2019-11-10T03:13:17,2nd Division,5430 Penn Avenue,Pittsburgh,Pennsylvania,15206,Bloomfield,2,9,8,3-23,-79.93524198,40.46469395
994,74,2018-07-27T13:18:56,2019-11-10T03:06:34,2nd Division,5140 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.94225405,40.45793178
1066,74,2018-07-27T13:19:00,2019-11-10T03:13:26,2nd Division,4707 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.9497792,40.46214627
1010,74,2018-07-27T13:18:57,2019-11-10T03:17:19,2nd Division,4782 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94739922,40.46074698
1028,74,2018-07-27T13:18:58,2019-11-10T03:04:27,2nd Division,4739 Maripoe Street,Pittsburgh,Pennsylvania,15213,Bloomfield,2,7,8,2-23,-79.94783414,40.45510387
613,74,2018-04-06T10:23:37,2019-11-10T09:20:21,2nd Division,5403 Friendship Avenue,Pittsburgh,Pennsylvania,15206,Bloomfield,2,9,8,3-23,-79.93749452,40.46194704
240,74,2017-09-21T16:27:31,2019-11-10T03:01:15,2nd Division,5230 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.93873258,40.46451228
242,74,2017-09-21T16:27:31,2019-11-10T03:26:17,2nd Division,5173 Penn Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-23,-79.94016274,40.46457931
1148,74,2018-07-27T13:19:04,2019-11-10T03:24:22,2nd Division,4761 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.94795134,40.46117042
1145,74,2018-07-27T13:19:04,2019-11-10T03:23:21,2nd Division,4627 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,9,3-6,-79.9499486,40.46223344
1146,74,2018-07-27T13:19:04,2019-11-10T03:15:21,2nd Division,4759 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.9481357,40.46126805
304,74,2017-09-22T15:33:41,2019-11-10T03:20:23,2nd Division,5215 Centre Ave,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-1,-79.94147783,40.45515357
954,74,2018-07-27T13:18:54,2019-11-10T03:25:21,2nd Division,4951 Centre Avenue,Pittsburgh,Pennsylvania,15213,Bloomfield,2,7,8,2-23,-79.94458541,40.45416934
1089,74,2018-07-27T13:19:01,2019-11-10T03:01:23,2nd Division,4500 Liberty Avenue,Pittsburgh,Pennsylvania,15224,Bloomfield,2,7,8,3-6,-79.95181436,40.46304544
