address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",6,0,4,2,0,0,2016,11,4,Mount Washington,3,18,42003180700,5,3,4-5,40.4238075700052,-80.003152486922
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2015,9,2,Mount Washington,3,18,42003180700,5,3,4-5,40.4238075700052,-80.003152486922
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,3,0,Mount Washington,3,18,42003180700,5,3,4-5,40.4238075700052,-80.003152486922
"<100 BLOCK LEDLIE ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,10,4,Bedford Dwellings,6,5,42003030500,3,2,2-1,40.4474028480904,-79.9834585892038
"<100 BLOCK LELIA ST PITTSBURGH, PA 15211",2,0,1,1,0,0,2018,3,2,Spring Hill-City View,1,26,42003262000,1,1,1-11,40.4682277586261,-79.9997897104722
"100 BLOCK LELIA ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2018,11,2,Mount Washington,4,19,42003191500,5,3,4-27,40.4218135645502,-80.0116297291058
"100 BLOCK LYTTON AVE PITTSBURGH, PA 15213",1,0,0,1,0,0,2019,8,4,North Oakland,8,4,42003982200,3,4,2-7,40.4461006201583,-79.954633101577
"100 BLOCK MADELINE ST PITTSBURGH, PA 15210",1,0,0,1,0,0,2016,2,5,Carrick,4,29,42003290200,3,3,4-12,40.3941806389238,-79.9852220254286
"<100 BLOCK MARKET ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2017,7,2,Central Business District,6,1,42003020100,6,2,1-4,40.4378372540688,-80.0045158761078
"<100 BLOCK MARNE WAY PITTSBURGH, PA 15211",1,0,1,0,0,0,2017,3,5,Mount Washington,2,19,42003191400,5,3,4-27,40.4234951648908,-80.0124342130659
"100 BLOCK MC NEILLY RD PITTSBURGH, PA 15226",1,0,1,0,0,0,2015,4,5,,,,42003479000,,6,,40.3804256888934,-80.0066164966622
"<100 BLOCK MERITT AVE PITTSBURGH, PA 15227",1,0,0,1,0,0,2015,1,5,Carrick,4,29,42003290400,3,3,4-23,40.3838377930553,-79.977855851711
"100 BLOCK MERITT AVE PITTSBURGH, PA 15227",1,0,1,0,0,0,2017,2,6,Carrick,4,29,42003290400,3,3,4-23,40.3835241080444,-79.9809965149306
"<100 BLOCK MILLBRIDGE ST PITTSBURGH, PA 15210",1,0,0,0,1,0,2017,3,5,Allentown,3,18,42003180300,5,3,4-5,40.4241913996634,-79.995863012018
"100 BLOCK MILLBRIDGE ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,8,2,Allentown,3,18,42003180300,5,3,4-21,40.421752426669,-79.9958297289367
"100 BLOCK MILLBRIDGE ST PITTSBURGH, PA 15210",2,0,2,0,0,0,2015,7,0,Allentown,3,18,42003180300,5,3,4-21,40.421752426669,-79.9958297289367
"100 BLOCK MILLBRIDGE ST PITTSBURGH, PA 15210",6,0,0,1,4,1,2016,1,5,Allentown,3,18,42003180300,5,3,4-21,40.421752426669,-79.9958297289367
"<100 BLOCK MILTENBERGER ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,10,0,Bluff,6,1,42003010300,3,2,2-1,40.4359683714092,-79.9815389848477
"<100 BLOCK MITCHELL ST PITTSBURGH, PA 15212",1,0,0,0,0,1,2016,9,6,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4766182589454,-80.0292941729126
"<100 BLOCK MOGA ST PITTSBURGH, PA 15206",4,0,4,0,0,0,2018,10,2,East Liberty,9,11,42003111300,2,5,3-8,40.4671803673948,-79.917509829581
"100 BLOCK MONTGOMERY PL PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,7,2,,,,,,1,,,
"100 BLOCK MONTVILLE ST PITTSBURGH, PA 15214",1,0,0,0,0,1,2019,8,4,Summer Hill,1,26,42003261200,1,1,1-15,40.4987873982873,-80.0171059964622
"<100 BLOCK MT OLIVER ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,11,6,South Side Slopes,3,17,42003170600,3,3,4-6,40.4214226708006,-79.9870884582861
"<100 BLOCK MT OLIVER ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,2,6,South Side Slopes,3,17,42003170600,3,3,4-6,40.4214226708006,-79.9870884582861
"<100 BLOCK MT OLIVER ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2018,10,6,South Side Slopes,3,17,42003170600,3,3,4-6,40.4214226708006,-79.9870884582861
"100 BLOCK MT OLIVER ST PITTSBURGH, PA 15210",2,0,2,0,0,0,2016,4,6,Arlington,3,16,42003561600,3,3,4-8,40.4171160909649,-79.9776394838539
"<100 BLOCK NATCHEZ ST PITTSBURGH, PA 15211",1,0,0,1,0,0,2015,7,3,Mount Washington,2,19,42003191400,5,3,4-27,40.4291036073664,-80.0090754118307
"<100 BLOCK N FREMONT AVE BELLEVUE, PA 15202",1,0,1,0,0,0,2019,8,1,,,,42003431400,,OSC,,40.498601548791,-80.0500922504689
